links,link,title,title_detail,summary,summary_detail,published,published_parsed,id,guidislink
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2015/02/01/jose-manuel-lara-patron-des-editions-editis-est-mort_4567553_3382.html'}, {'type': 'image/jpeg', 'length': '19215', 'href': 'http://s1.lemde.fr/image/2015/02/01/534x267/4567554_3_ffb7_jose-manuel-lara-en-2008_615fc867002b788e4e38c1d4dae13f2f.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2015/02/01/jose-manuel-lara-patron-des-editions-editis-est-mort_4567553_3382.html,"José Manuel Lara, propriétaire des éditions Editis, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'José Manuel Lara, propriétaire des éditions Editis, est mort'}","A la tête du groupe espagnol Planeta, ses acquisitions successives lui avaient valu d'être comparé au magnat australien Rupert Murdoch.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""A la tête du groupe espagnol Planeta, ses acquisitions successives lui avaient valu d'être comparé au magnat australien Rupert Murdoch.""}","Sun, 01 Feb 2015 02:18:43 GMT","time.struct_time(tm_year=2015, tm_mon=2, tm_mday=1, tm_hour=2, tm_min=18, tm_sec=43, tm_wday=6, tm_yday=32, tm_isdst=0)",http://www.lemonde.fr/tiny/4567553/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/europe/article/2015/01/31/l-ancien-president-allemand-richard-von-weizsacker-est-mort_4567455_3214.html'}, {'type': 'image/jpeg', 'length': '26187', 'href': 'http://s2.lemde.fr/image/2015/01/31/534x267/4567454_3_be37_l-ancien-president-allemand-richard-von_2cc4ec146af1799b8760d06f4ea24459.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/europe/article/2015/01/31/l-ancien-president-allemand-richard-von-weizsacker-est-mort_4567455_3214.html,L'ancien président allemand Richard von Weizsäcker est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""L'ancien président allemand Richard von Weizsäcker est mort""}","Considéré comme l'une des grandes figures morales de l'Allemagne d'après-guerre, Richard von Weizsäcker est mort à l'âge de 94 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Considéré comme l'une des grandes figures morales de l'Allemagne d'après-guerre, Richard von Weizsäcker est mort à l'âge de 94 ans.""}","Sat, 31 Jan 2015 12:16:45 GMT","time.struct_time(tm_year=2015, tm_mon=1, tm_mday=31, tm_hour=12, tm_min=16, tm_sec=45, tm_wday=5, tm_yday=31, tm_isdst=0)",http://www.lemonde.fr/tiny/4567455/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2015/01/29/mort-de-l-auteure-du-roman-a-succes-les-oiseaux-se-cachent-pour-mourir_4565853_3382.html'}, {'type': 'image/jpeg', 'length': '23782', 'href': 'http://s1.lemde.fr/image/2015/01/29/534x267/4565849_3_e68e_harper-collins-australie-a-annonce_e1b3cc53da72dd282ace89482f53422b.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2015/01/29/mort-de-l-auteure-du-roman-a-succes-les-oiseaux-se-cachent-pour-mourir_4565853_3382.html,Mort de l’auteure du roman à succès « Les oiseaux se cachent pour mourir »,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de l’auteure du roman à succès «\xa0Les oiseaux se cachent pour mourir\xa0»'}",Son roman publié en 1977 a été vendu à 30 millions d’exemplaires.,"{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Son roman publié en\xa01977 a été vendu à 30\xa0millions d’exemplaires.'}","Thu, 29 Jan 2015 10:42:04 GMT","time.struct_time(tm_year=2015, tm_mon=1, tm_mday=29, tm_hour=10, tm_min=42, tm_sec=4, tm_wday=3, tm_yday=29, tm_isdst=0)",http://www.lemonde.fr/tiny/4565853/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2015/01/26/le-musicien-et-chanteur-grec-demis-roussos-est-mort_4563587_3382.html'}, {'type': 'image/jpeg', 'length': '17640', 'href': 'http://s2.lemde.fr/image/2015/01/26/534x267/4563586_3_2a01_demis-roussos-sur-le-scene-du-zenith-a-pa_48e0c2fe8baf4ebe79d3c0c9f8b2a2d2.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2015/01/26/le-musicien-et-chanteur-grec-demis-roussos-est-mort_4563587_3382.html,Mort du chanteur grec Demis Roussos,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort du chanteur grec Demis Roussos'}",L'auteur de « Rain & Tears » est décédé dans un hôpital à Athènes ce week-end à l'âge de 68 ans.,"{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""L'auteur de\xa0«\xa0Rain & Tears\xa0» est décédé dans un hôpital à Athènes ce week-end à l'âge de 68 ans.""}","Mon, 26 Jan 2015 12:52:23 GMT","time.struct_time(tm_year=2015, tm_mon=1, tm_mday=26, tm_hour=12, tm_min=52, tm_sec=23, tm_wday=0, tm_yday=26, tm_isdst=0)",http://www.lemonde.fr/tiny/4563587/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2015/01/25/mort-de-pierre-gosnat-maire-pcf-d-ivry-sur-seine_4563023_3382.html'}, {'type': 'image/jpeg', 'length': '34997', 'href': 'http://s1.lemde.fr/image/2015/01/25/534x267/4563024_3_7cbe_l-elu-depute-du-val-de-marne-de-2007-a-201_bb13ff547069319ff2dc7cee9a0d5822.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2015/01/25/mort-de-pierre-gosnat-maire-pcf-d-ivry-sur-seine_4563023_3382.html,"Mort de Pierre Gosnat, maire PCF d'Ivry-sur-Seine","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Mort de Pierre Gosnat, maire PCF d'Ivry-sur-Seine""}","L'élu, député du Val-de-Marne de 2007 à 2012, est mort dimanche à 66 ans « au terme d'un long combat contre la maladie », a annoncé la municipalité francilienne.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""L'élu, député du Val-de-Marne de 2007 à 2012, est mort dimanche à 66 ans « au terme d'un long combat contre la maladie\xa0», a annoncé la municipalité francilienne.""}","Sun, 25 Jan 2015 13:30:33 GMT","time.struct_time(tm_year=2015, tm_mon=1, tm_mday=25, tm_hour=13, tm_min=30, tm_sec=33, tm_wday=6, tm_yday=25, tm_isdst=0)",http://www.lemonde.fr/tiny/4563023/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/breve/2015/01/24/mort-d-helene-missoffe-ancienne-secretaire-d-etat-et-parlementaire_4562868_3382.html'}]",http://www.lemonde.fr/disparitions/breve/2015/01/24/mort-d-helene-missoffe-ancienne-secretaire-d-etat-et-parlementaire_4562868_3382.html,"Mort d'Hélène Missoffe, ancienne secrétaire d'Etat et parlementaire","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Mort d'Hélène Missoffe, ancienne secrétaire d'Etat et parlementaire""}","Hélène Missoffe, ancienne secrétaire d'Etat et parlementaire est décédée jeudi 22 janvier à l'âge de 87 ans, selon un avis publié samedi dans le carnet du Figaro. Officier de la Légion d'honneur, Mme Missoffe avait été secrétaire d'Etat auprès du ministre de la santé dans le gouvernement de Raymond Barre à la fin des années 1970. Elle a aussi été députée puis sénatrice RPR du Val-d'Oise de 1986 à 1995. Epouse de l'ancien ministre François Missoffe, décédé en 2003, Mme Missoffe a eu huit enfants, dont l'ancienne ministre et élue de Paris Françoise de Panafieu. (AFP)","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Hélène Missoffe, ancienne secrétaire d'Etat et parlementaire est décédée jeudi 22 janvier à l'âge de 87 ans, selon un avis publié samedi dans le carnet du Figaro. Officier de la Légion d'honneur, Mme\xa0Missoffe avait été secrétaire d'Etat auprès du ministre de la santé dans le gouvernement de Raymond Barre à la fin des années 1970. Elle a aussi été députée puis sénatrice RPR du Val-d'Oise de 1986 à 1995. Epouse de l'ancien ministre François Missoffe, décédé en 2003, Mme Missoffe a eu huit enfants, dont l'ancienne ministre et élue de Paris Françoise de Panafieu. (AFP)""}","Sat, 24 Jan 2015 11:38:11 GMT","time.struct_time(tm_year=2015, tm_mon=1, tm_mday=24, tm_hour=11, tm_min=38, tm_sec=11, tm_wday=5, tm_yday=24, tm_isdst=0)",http://www.lemonde.fr/tiny/4562868/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/culture/article/2015/01/24/mort-de-l-allemand-froese-pionnier-de-la-musique-electronique_4562678_3246.html'}, {'type': 'image/jpeg', 'length': '21862', 'href': 'http://s2.lemde.fr/image/2015/01/24/534x267/4562680_3_9a96_le-musicien-allemand-edgar-froese-est-decede-a_f96eb33a580e1fe1047a43bc3bcb91b4.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/culture/article/2015/01/24/mort-de-l-allemand-froese-pionnier-de-la-musique-electronique_4562678_3246.html,"Mort de l'Allemand Froese, pionnier de la musique électronique","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Mort de l'Allemand Froese, pionnier de la musique électronique""}","Il était membre du groupe Tangerine Dream, formé dans les années 1970 et connu pour ses mélodies futuristes. Agé de 70 ans, il a succombé à une embolie pulmonaire.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Il était membre du groupe Tangerine Dream, formé dans les années 1970 et connu pour ses mélodies futuristes. Agé de 70 ans, il a succombé à une embolie pulmonaire.'}","Sat, 24 Jan 2015 04:25:19 GMT","time.struct_time(tm_year=2015, tm_mon=1, tm_mday=24, tm_hour=4, tm_min=25, tm_sec=19, tm_wday=5, tm_yday=24, tm_isdst=0)",http://www.lemonde.fr/tiny/4562678/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/proche-orient/article/2015/01/23/arabie-saoudite-a-79-ans-avec-la-maladie-et-l-age-salman-sera-un-roi-de-transition_4562572_3218.html'}, {'type': 'image/jpeg', 'length': '34017', 'href': 'http://s1.lemde.fr/image/2015/01/23/534x267/4562575_3_6bfe_le-roi-salman-successeur-depuis-vendredi-23_aed319c01e627ae19a19caab4043657e.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/proche-orient/article/2015/01/23/arabie-saoudite-a-79-ans-avec-la-maladie-et-l-age-salman-sera-un-roi-de-transition_4562572_3218.html,"Arabie saoudite : « A 79 ans, avec la maladie et l’âge, Salman sera un roi de transition »","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Arabie saoudite : «\xa0A 79 ans, avec la maladie et l’âge, Salman sera un roi de transition\xa0»'}",Le successeur du roi Abdallah aura la lourde tâche de maintenir la stabilité de l’Arabie saoudite dans un environnement régional de plus en plus hostile.,"{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le successeur du roi Abdallah aura la lourde tâche de maintenir la stabilité de l’Arabie saoudite dans un environnement régional de plus en plus hostile.'}","Fri, 23 Jan 2015 17:36:21 GMT","time.struct_time(tm_year=2015, tm_mon=1, tm_mday=23, tm_hour=17, tm_min=36, tm_sec=21, tm_wday=4, tm_yday=23, tm_isdst=0)",http://www.lemonde.fr/tiny/4562572/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/proche-orient/article/2015/01/23/le-roi-abdallah-un-role-pivot-dans-le-golfe_4562335_3218.html'}, {'type': 'image/jpeg', 'length': '7967', 'href': 'http://s2.lemde.fr/image/2015/01/23/534x267/4562333_3_b63b_abdallah-ben-abdel-aziz-al-saoud-en-1980_c0f7420d6b074c1c7c5d532cd240f528.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/proche-orient/article/2015/01/23/le-roi-abdallah-un-role-pivot-dans-le-golfe_4562335_3218.html,"Le roi Abdallah, un rôle pivot dans le Golfe","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le roi Abdallah, un rôle pivot dans le Golfe'}","La diplomatie du roi disparu le 23 janvier, dont la dynastie est alliée des Etats-Unis, a été marquée pas quelques coups d’éclat, puis a buté sur les dossiers syriens et libanais face à la montée en puissance de l’Iran.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La diplomatie du roi disparu le 23\xa0janvier, dont la dynastie est alliée des Etats-Unis, a été marquée pas quelques coups d’éclat, puis a buté sur les dossiers syriens et libanais face à la montée en puissance de l’Iran.'}","Fri, 23 Jan 2015 12:49:06 GMT","time.struct_time(tm_year=2015, tm_mon=1, tm_mday=23, tm_hour=12, tm_min=49, tm_sec=6, tm_wday=4, tm_yday=23, tm_isdst=0)",http://www.lemonde.fr/tiny/4562335/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2015/01/23/mort-d-abdallah-ben-abdel-aziz-al-saoud-roi-d-arabie-saoudite_4561910_3382.html'}, {'type': 'image/jpeg', 'length': '22845', 'href': 'http://s1.lemde.fr/image/2015/01/23/534x267/4561928_3_bde0_le-roi-d-arabie-saoudite-abdallah-ben-abdel_e91df7bad2b96d3ad3f91c51d05ec789.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2015/01/23/mort-d-abdallah-ben-abdel-aziz-al-saoud-roi-d-arabie-saoudite_4561910_3382.html,"La mort d’Abdallah, monarque équilibriste","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort d’Abdallah, monarque équilibriste'}","Durant son règne, le roi saoudien a cherché avant tout à préserver la stabilité de son pays, premier exportateur mondial de pétrole.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20150215044305/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Durant son règne, le roi saoudien a cherché avant tout à préserver la stabilité de son pays, premier exportateur mondial de pétrole.'}","Fri, 23 Jan 2015 00:49:31 GMT","time.struct_time(tm_year=2015, tm_mon=1, tm_mday=23, tm_hour=0, tm_min=49, tm_sec=31, tm_wday=4, tm_yday=23, tm_isdst=0)",http://www.lemonde.fr/tiny/4561910/,False
