title,title_detail,published,published_parsed,summary,summary_detail,id,guidislink,link,links,media_content,content,media_credit,credit
"Marcel Trillat, journaliste et documentariste, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Marcel Trillat, journaliste et\xa0documentariste, est mort'}","Sat, 19 Sep 2020 14:11:36 +0200","time.struct_time(tm_year=2020, tm_mon=9, tm_mday=19, tm_hour=12, tm_min=11, tm_sec=36, tm_wday=5, tm_yday=263, tm_isdst=0)","Entré dans l’équipe de « Cinq colonnes à la “une” » en 1965, il réalisa de nombreux reportages sur les lieux des luttes sociales. Il est mort le 18 septembre, à l’âge de 80 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Entré dans l’équipe de «\xa0Cinq colonnes à la “une”\xa0» en\xa01965, il réalisa de nombreux reportages sur les lieux des luttes sociales. Il est mort le 18\xa0septembre, à l’âge de 80\xa0ans.'}",https://www.lemonde.fr/televisions-radio/article/2020/09/19/marcel-trillat-journaliste-et-documentariste-est-mort_6052867_1655027.html,True,https://www.lemonde.fr/televisions-radio/article/2020/09/19/marcel-trillat-journaliste-et-documentariste-est-mort_6052867_1655027.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/televisions-radio/article/2020/09/19/marcel-trillat-journaliste-et-documentariste-est-mort_6052867_1655027.html'}]","[{'url': 'https://img.lemde.fr/2020/09/19/1686/0/3413/1693/644/322/60/0/fec59f8_226400021-divergence-gba0503009.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Marcel Trillat, à la fête de l’Humanité, à la Courneuve (Seine-Saint-Denis), en septembre 2011.'}]","[{'scheme': 'urn:ebu', 'content': 'Georges Bartoli / Divergence'}]",Georges Bartoli / Divergence
"Ruth Bader Ginsburg, juge à la Cour suprême des Etats-Unis, est morte à l’âge de 87 ans","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Ruth Bader Ginsburg, juge à la Cour suprême des Etats-Unis, est morte à l’âge de 87\xa0ans'}","Sat, 19 Sep 2020 01:55:59 +0200","time.struct_time(tm_year=2020, tm_mon=9, tm_mday=18, tm_hour=23, tm_min=55, tm_sec=59, tm_wday=4, tm_yday=262, tm_isdst=0)","Deuxième femme de l’histoire américaine à siéger au sein de la Cour suprême, icône de la gauche progressiste, cette juriste devenue phénomène culturel avait fait de l’égalité des sexes son combat.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Deuxième femme de l’histoire américaine à siéger au sein de la Cour suprême, icône de la gauche progressiste, cette juriste devenue phénomène culturel avait fait de l’égalité des sexes son combat.'}",https://www.lemonde.fr/disparitions/article/2020/09/19/ruth-bader-ginsburg-juge-a-la-cour-supreme-des-etats-unis-est-morte-a-l-age-de-87-ans_6052805_3382.html,True,https://www.lemonde.fr/disparitions/article/2020/09/19/ruth-bader-ginsburg-juge-a-la-cour-supreme-des-etats-unis-est-morte-a-l-age-de-87-ans_6052805_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2020/09/19/ruth-bader-ginsburg-juge-a-la-cour-supreme-des-etats-unis-est-morte-a-l-age-de-87-ans_6052805_3382.html'}]","[{'url': 'https://img.lemde.fr/2020/09/18/529/0/3500/1747/644/322/60/0/6ff3a5f_5355110-01-06.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La juge Ruth Bader Ginsburg, à la Cour suprême, à Washington, le 29 septembre 2009.'}]","[{'scheme': 'urn:ebu', 'content': 'MANDEL NGAN / AFP'}]",MANDEL NGAN / AFP
"Roger Carel, légende du doublage français, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Roger Carel, légende du doublage français, est mort'}","Fri, 18 Sep 2020 12:06:53 +0200","time.struct_time(tm_year=2020, tm_mon=9, tm_mday=18, tm_hour=10, tm_min=6, tm_sec=53, tm_wday=4, tm_yday=262, tm_isdst=0)","L’acteur de théâtre et de cinéma a été un des grands du doublage en France. Il a été la voix d’Astérix, du droïde C-3PO de « Star Wars » ou du serpent Kaa du « Livre de la jungle »… Il est mort le 11 septembre, à l’âge de 93 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’acteur de théâtre et de cinéma a été un des grands du doublage en France. Il a été la voix d’Astérix, du droïde C-3PO de «\xa0Star Wars\xa0» ou du serpent Kaa du «\xa0Livre de la jungle\xa0»… Il est mort le 11\xa0septembre, à l’âge de 93\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2020/09/18/mort-de-l-acteur-roger-carel_6052731_3382.html,True,https://www.lemonde.fr/disparitions/article/2020/09/18/mort-de-l-acteur-roger-carel_6052731_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2020/09/18/mort-de-l-acteur-roger-carel_6052731_3382.html'}]","[{'url': 'https://img.lemde.fr/2020/09/18/1368/0/2787/1393/644/322/60/0/aaa31e6_5350335-01-06.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Roger Carel, le 4 mai 1973, lors du tournage de la série télévisée « Arsène Lupin\xa0», à Etretat (Seine-Maritime).'}]","[{'scheme': 'urn:ebu', 'content': '- / AFP'}]",- / AFP
"Tunisie : Ahmed Ben Salah, ancien ministre du président Bourguiba, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Tunisie\xa0: Ahmed Ben Salah, ancien ministre du président Bourguiba, est mort'}","Wed, 16 Sep 2020 17:53:50 +0200","time.struct_time(tm_year=2020, tm_mon=9, tm_mday=16, tm_hour=15, tm_min=53, tm_sec=50, tm_wday=2, tm_yday=260, tm_isdst=0)","Il a eu la haute main sur l’économie de 1961 à 1969, avant de tomber en disgrâce et d’être condamné aux travaux forcés. Il est mort le 16 septembre à Tunis, à l’âge de 94 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Il a eu la haute main sur l’économie de 1961 à 1969, avant de tomber en disgrâce et d’être condamné aux travaux forcés. Il est mort le 16\xa0septembre à Tunis, à l’âge de 94\xa0ans.'}",https://www.lemonde.fr/afrique/article/2020/09/16/tunisie-ahmed-ben-salah-ancien-ministre-du-president-bourguiba-est-mort_6052454_3212.html,True,https://www.lemonde.fr/afrique/article/2020/09/16/tunisie-ahmed-ben-salah-ancien-ministre-du-president-bourguiba-est-mort_6052454_3212.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/afrique/article/2020/09/16/tunisie-ahmed-ben-salah-ancien-ministre-du-president-bourguiba-est-mort_6052454_3212.html'}]","[{'url': 'https://img.lemde.fr/2020/09/16/28/219/384/192/644/322/60/0/d57c869_419939338-bourguibabensalah.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Ahmed Ben Salah (au centre), alors secrétaire général de l’UGTT, avec Habib Bourguiba (à droite), dans les années 1950.'}]","[{'scheme': 'urn:ebu', 'content': 'DR'}]",DR
Le compositeur et chef d’orchestre Paul Méfano est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le compositeur et chef d’orchestre Paul Méfano est mort'}","Wed, 16 Sep 2020 14:48:30 +0200","time.struct_time(tm_year=2020, tm_mon=9, tm_mday=16, tm_hour=12, tm_min=48, tm_sec=30, tm_wday=2, tm_yday=260, tm_isdst=0)","Créateur sans étiquette, le fondateur de l’ensemble 2e2m est mort chez lui, à Chilly-Mazarin, le 15 septembre à 83 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Créateur sans étiquette, le fondateur de l’ensemble 2e2m est mort chez lui, à Chilly-Mazarin, le 15\xa0septembre à 83\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2020/09/16/le-compositeur-et-chef-d-orchestre-paul-mefano-est-mort_6052439_3382.html,True,https://www.lemonde.fr/disparitions/article/2020/09/16/le-compositeur-et-chef-d-orchestre-paul-mefano-est-mort_6052439_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2020/09/16/le-compositeur-et-chef-d-orchestre-paul-mefano-est-mort_6052439_3382.html'}]","[{'url': 'https://img.lemde.fr/2020/09/16/126/0/3990/1992/644/322/60/0/3e71ddf_637329835-leemage-leb73765.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le compositeur Paul Méfano (1937-2020), en mars 1997.'}]","[{'scheme': 'urn:ebu', 'content': 'THIERRY MARTINOT/LEBRECHT/LEEMAGE'}]",THIERRY MARTINOT/LEBRECHT/LEEMAGE
La mort du traducteur Jean Rosenthal,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort du traducteur Jean Rosenthal'}","Tue, 15 Sep 2020 19:52:25 +0200","time.struct_time(tm_year=2020, tm_mon=9, tm_mday=15, tm_hour=17, tm_min=52, tm_sec=25, tm_wday=1, tm_yday=259, tm_isdst=0)","Passeur autant que traducteur, il a contribué à faire connaître la science-fiction aux lecteurs français dans les années 1950. Il s’est aussi frotté à quelques grands de la littérature anglo-saxonne. Il est mort le 26 août, à l’âge de 97 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Passeur autant que traducteur, il a contribué à faire connaître la science-fiction aux lecteurs français dans les années 1950. Il s’est aussi frotté à quelques grands de la littérature anglo-saxonne. Il est mort le 26 août, à l’âge de 97 ans.'}",https://www.lemonde.fr/disparitions/article/2020/09/15/la-mort-du-traducteur-jean-rosenthal_6052314_3382.html,True,https://www.lemonde.fr/disparitions/article/2020/09/15/la-mort-du-traducteur-jean-rosenthal_6052314_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2020/09/15/la-mort-du-traducteur-jean-rosenthal_6052314_3382.html'}]","[{'url': 'https://img.lemde.fr/2020/09/15/480/0/3006/1503/644/322/60/0/b607523_548803562-img-2241.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Jean Rosenthal.'}]","[{'scheme': 'urn:ebu', 'content': 'DR'}]",DR
L’extrémiste serbe Momcilo Krajisnik est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’extrémiste serbe Momcilo Krajisnik est mort'}","Tue, 15 Sep 2020 19:14:20 +0200","time.struct_time(tm_year=2020, tm_mon=9, tm_mday=15, tm_hour=17, tm_min=14, tm_sec=20, tm_wday=1, tm_yday=259, tm_isdst=0)","Il fut l’un des concepteurs d’un projet serbe d’Etat « ethniquement pur ». Le fidèle de Radovan Karadzic, « président » bosno-serbe autoproclamé pendant la guerre de Bosnie-Herzégovine, condamné pour crimes de guerre en 2006, est mort le 15 septembre, à l’âge de 75 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Il fut l’un des concepteurs d’un projet serbe d’Etat «\xa0ethniquement pur\xa0». Le fidèle de Radovan Karadzic, «\xa0président\xa0» bosno-serbe autoproclamé pendant la guerre de Bosnie-Herzégovine, condamné pour crimes de guerre en\xa02006, est mort le 15\xa0septembre, à l’âge de 75\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2020/09/15/l-extremiste-serbe-momcilo-krajisnik-est-mort_6052310_3382.html,True,https://www.lemonde.fr/disparitions/article/2020/09/15/l-extremiste-serbe-momcilo-krajisnik-est-mort_6052310_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2020/09/15/l-extremiste-serbe-momcilo-krajisnik-est-mort_6052310_3382.html'}]","[{'url': 'https://img.lemde.fr/2020/09/15/589/0/1587/788/644/322/60/0/9ae8a9c_829986071-000-app2000040397865.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'A September 1993 photo of top Bosnian Serb official Momcilo Krajisnik, a long time ally of Radovan Karadzic, who has been arrested, it was confirmed by NATO 03 April 2000. Krajisnik was under a secret indictment by the UN warcrimes court in The Hague on charges of genocide, crimes against humanity and warcrimes. He is ""now being processed for transfer to The Hague"" said NATO chief George Robertson. (Photo by DRAGO VEJNOVIC / AFP FILES / AFP)'}]","[{'scheme': 'urn:ebu', 'content': 'DRAGO VEJNOVIC / AFP'}]",DRAGO VEJNOVIC / AFP
Mali : l’ancien autocrate Moussa Traoré est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mali\xa0: l’ancien autocrate Moussa Traoré est mort'}","Tue, 15 Sep 2020 17:55:25 +0200","time.struct_time(tm_year=2020, tm_mon=9, tm_mday=15, tm_hour=15, tm_min=55, tm_sec=25, tm_wday=1, tm_yday=259, tm_isdst=0)","Le décès de l’ancien général, président de 1968 à 1991, survient alors que le pays vient de connaître son quatrième coup d’Etat depuis l’indépendance.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le décès de l’ancien général, président de 1968 à 1991, survient alors que le pays vient de connaître son quatrième coup d’Etat depuis l’indépendance.'}",https://www.lemonde.fr/afrique/article/2020/09/15/mali-l-ancien-autocrate-moussa-traore-est-decede_6052296_3212.html,True,https://www.lemonde.fr/afrique/article/2020/09/15/mali-l-ancien-autocrate-moussa-traore-est-decede_6052296_3212.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/afrique/article/2020/09/15/mali-l-ancien-autocrate-moussa-traore-est-decede_6052296_3212.html'}]","[{'url': 'https://img.lemde.fr/2020/09/15/407/0/4835/2417/644/322/60/0/8440f94_5329784-01-06.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’ancien président malien Moussa Traoré le 31 décembre 1985, à Bamako. Il a exercé un pouvoir sans partage pendant presque vingt-deux ans.'}]","[{'scheme': 'urn:ebu', 'content': 'FRANCOIS ROJON / AFP'}]",FRANCOIS ROJON / AFP
La mort du psychiatre Jean Garrabé,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort du psychiatre Jean Garrabé'}","Tue, 15 Sep 2020 12:29:08 +0200","time.struct_time(tm_year=2020, tm_mon=9, tm_mday=15, tm_hour=10, tm_min=29, tm_sec=8, tm_wday=1, tm_yday=259, tm_isdst=0)","Clinicien et historien, il a formé de nombreux élèves dans la droite ligne de la psychothérapie institutionnelle et de l’approche psychanalytique. Très actif dans plusieurs institutions, il est mort le 13 septembre, à l’âge de 89 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Clinicien et historien, il a formé de nombreux élèves dans la droite ligne de la psychothérapie institutionnelle et de l’approche psychanalytique. Très actif dans plusieurs institutions, il est mort le 13\xa0septembre, à l’âge de 89\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2020/09/15/la-mort-du-psychiatre-jean-garrabe_6052265_3382.html,True,https://www.lemonde.fr/disparitions/article/2020/09/15/la-mort-du-psychiatre-jean-garrabe_6052265_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2020/09/15/la-mort-du-psychiatre-jean-garrabe_6052265_3382.html'}]","[{'url': 'https://img.lemde.fr/2020/09/15/326/0/970/484/644/322/60/0/57528f7_667587675-1-1.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le psychiatre Jean Garrabé.'}]","[{'scheme': 'urn:ebu', 'content': 'John Libbey Eurotext'}]",John Libbey Eurotext
"François Debré, journaliste et écrivain, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'François Debré, journaliste et écrivain, est mort'}","Tue, 15 Sep 2020 11:33:22 +0200","time.struct_time(tm_year=2020, tm_mon=9, tm_mday=15, tm_hour=9, tm_min=33, tm_sec=22, tm_wday=1, tm_yday=259, tm_isdst=0)","Prix Albert Londres en 1977 pour « Cambodge, la révolution de la forêt », un essai sur les Khmers rouges, collaborateur de plusieurs journaux et chaînes de télévision, le frère aîné de Jean-Louis et Bernard Debré est décédé le 14 septembre, à l’âge de 78 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Prix Albert Londres en\xa01977 pour «\xa0Cambodge, la révolution de la forêt\xa0», un essai sur les Khmers rouges, collaborateur de plusieurs journaux et chaînes de télévision, le frère aîné de Jean-Louis et Bernard Debré est décédé le 14\xa0septembre, à l’âge de 78\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2020/09/15/francois-debre-journaliste-et-ecrivain-est-mort_6052247_3382.html,True,https://www.lemonde.fr/disparitions/article/2020/09/15/francois-debre-journaliste-et-ecrivain-est-mort_6052247_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2020/09/15/francois-debre-journaliste-et-ecrivain-est-mort_6052247_3382.html'}]","[{'url': 'https://img.lemde.fr/2020/09/15/173/0/534/265/644/322/60/0/7c59c8e_291733442-img-7845.JPG', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20200926073249/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'François Debré, en Afrique, en 1978.'}]","[{'scheme': 'urn:ebu', 'content': 'Archive familiale'}]",Archive familiale
