links,link,title,title_detail,summary,summary_detail,published,published_parsed,id,guidislink
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/afrique/article/2018/08/27/mort-de-joseph-kadji-defosso-pionnier-de-l-industrie-au-cameroun_5346551_3212.html'}, {'type': 'image/jpeg', 'length': '40751', 'href': 'https://s1.lemde.fr/image/2018/08/27/644x322/5346550_3_c889_l-homme-d-affaires-camerounais-joseph-kadji-def_c3bc61c7c72f51935fd06e604eed0fd2.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/afrique/article/2018/08/27/mort-de-joseph-kadji-defosso-pionnier-de-l-industrie-au-cameroun_5346551_3212.html,"Mort de Joseph Kadji Defosso, pionnier de l’industrie au Cameroun","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de Joseph Kadji Defosso, pionnier de l’industrie au Cameroun'}","Classé parmi les dix plus grandes fortunes du pays, l’homme d’affaires avait notamment créé l’Union camerounaise des brasseries.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Classé parmi les dix plus grandes fortunes du pays, l’homme d’affaires avait notamment créé l’Union camerounaise des brasseries.'}","Mon, 27 Aug 2018 10:43:08 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=27, tm_hour=8, tm_min=43, tm_sec=8, tm_wday=0, tm_yday=239, tm_isdst=0)",https://www.lemonde.fr/tiny/5346551/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/26/des-funerailles-nationales-pour-john-mccain_5346434_3382.html'}, {'type': 'image/jpeg', 'length': '44520', 'href': 'https://s1.lemde.fr/image/2018/08/26/644x322/5346433_3_ec39_memorial-improvise-au-bureau-du-senateur-jo_76cbd2701a9842529edc4c399a7fbecd.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/26/des-funerailles-nationales-pour-john-mccain_5346434_3382.html,Des funérailles nationales vont être organisées pour le sénateur américain John McCain,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Des funérailles nationales vont être organisées pour le sénateur américain John McCain'}",Le sénateur républicain de l’Arizona et candidat malheureux à l’élection présidentielle américaine de 2008 est mort samedi. Il avait 81 ans.,"{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le sénateur républicain de l’Arizona et candidat malheureux à l’élection présidentielle américaine de 2008 est mort samedi. Il avait 81 ans.'}","Sun, 26 Aug 2018 23:32:58 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=26, tm_hour=21, tm_min=32, tm_sec=58, tm_wday=6, tm_yday=238, tm_isdst=0)",https://www.lemonde.fr/tiny/5346434/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/ameriques/video/2018/08/26/john-mccain-heros-de-guerre-politicien-imprevisible_5346320_3222.html'}, {'type': 'image/jpeg', 'length': '33899', 'href': 'https://s1.lemde.fr/image/2018/08/26/644x322/5346319_3_3494_file-in-this-june-22-2017-file-photo-sen_aa46d5d2c43366517861906621278071.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/ameriques/video/2018/08/26/john-mccain-heros-de-guerre-politicien-imprevisible_5346320_3222.html,"John McCain, héros de guerre et homme politique engagé et imprévisible","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'John McCain, héros de guerre et homme politique engagé et imprévisible'}","Le sénateur américain est mort samedi, à l’âge de 81 ans. Retour en images sur le parcours de celui que les Américains qualifient volontiers de « rebelle ».","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le sénateur américain est mort samedi, à l’âge de 81 ans. Retour en images sur le parcours de celui que les Américains qualifient volontiers de «\xa0rebelle\xa0».'}","Sun, 26 Aug 2018 10:50:48 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=26, tm_hour=8, tm_min=50, tm_sec=48, tm_wday=6, tm_yday=238, tm_isdst=0)",https://www.lemonde.fr/tiny/5346320/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/donald-trump/article/2018/08/26/prive-de-john-mccain-un-parti-republicain-encore-plus-monocorde_5346281_4853715.html'}, {'type': 'image/jpeg', 'length': '31671', 'href': 'https://s1.lemde.fr/image/2018/08/26/644x322/5346280_3_f697_2018-08-26-1dab2d1-5217887-01-06_5375b0e2c690fbf5d4b0012605b3a8d9.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/donald-trump/article/2018/08/26/prive-de-john-mccain-un-parti-republicain-encore-plus-monocorde_5346281_4853715.html,"Privé de John McCain, un Parti républicain encore plus monocorde","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Privé de John McCain, un Parti républicain encore plus monocorde'}",Le sénateur de l’Arizona se posait en opposant au président républicain Donald Trump au sein de son propre camp.,"{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le sénateur de l’Arizona se posait en opposant au président républicain Donald Trump au sein de son propre camp.'}","Sun, 26 Aug 2018 06:39:40 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=26, tm_hour=4, tm_min=39, tm_sec=40, tm_wday=6, tm_yday=238, tm_isdst=0)",https://www.lemonde.fr/tiny/5346281/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/26/le-monde-politique-rend-hommage-a-john-mccain_5346276_3382.html'}, {'type': 'image/jpeg', 'length': '18801', 'href': 'https://s1.lemde.fr/image/2018/08/26/644x322/5346275_3_1a66_john-mccain-en-2008-dans-l-arizona_8eb8c8ec4e9150cccd8660a377c49e99.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/26/le-monde-politique-rend-hommage-a-john-mccain_5346276_3382.html,Etats-Unis : le monde politique rend hommage à John McCain,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Etats-Unis : le monde politique rend hommage à John McCain'}","Le sénateur républicain, considéré comme un héros de la guerre du Vietnam et une figure non conformiste de la politique américaine, est mort samedi à l’âge de 81 ans d’un cancer du cerveau, contre lequel il luttait depuis un an.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le sénateur républicain, considéré comme un héros de la guerre du Vietnam et une figure non conformiste de la politique américaine, est mort samedi à l’âge de 81 ans d’un cancer du cerveau, contre lequel il luttait depuis un an.'}","Sun, 26 Aug 2018 03:39:43 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=26, tm_hour=1, tm_min=39, tm_sec=43, tm_wday=6, tm_yday=238, tm_isdst=0)",https://www.lemonde.fr/tiny/5346276/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/26/le-senateur-americain-john-mccain-est-mort_5346270_3382.html'}, {'type': 'image/jpeg', 'length': '18206', 'href': 'https://s1.lemde.fr/image/2018/08/26/644x322/5346269_3_7518_john-mccain-en-octobre-2008_94b0eff60a19172ba87844e8168a559b.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/26/le-senateur-americain-john-mccain-est-mort_5346270_3382.html,"Mort de John McCain, sénateur républicain devenu opposant à Donald Trump","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de John McCain, sénateur républicain devenu opposant à Donald Trump'}","Héros de la guerre du Vietnam, le candidat républicain malheureux à la présidentielle de 2008 était devenu l’un des plus farouches opposants à Donald Trump. Il s’est éteint dans l’Arizona, le samedi 25 août, à l’âge de 81 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Héros de la guerre du Vietnam, le candidat républicain malheureux à la présidentielle de 2008 était devenu l’un des plus farouches opposants à Donald Trump. Il s’est éteint dans l’Arizona, le samedi 25\xa0août, à l’âge de 81\xa0ans.'}","Sun, 26 Aug 2018 03:10:16 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=26, tm_hour=1, tm_min=10, tm_sec=16, tm_wday=6, tm_yday=238, tm_isdst=0)",https://www.lemonde.fr/tiny/5346270/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/24/disparition-de-l-ecrivain-russe-vladimir-charov_5345938_3382.html'}, {'type': 'image/jpeg', 'length': '39709', 'href': 'https://s1.lemde.fr/image/2018/08/24/644x322/5345936_3_990e_l-ecrivain-vladimir-charov-a-moscou-en-2005_7c68a98df03571598331fdabd24555f7.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/24/disparition-de-l-ecrivain-russe-vladimir-charov_5345938_3382.html,Disparition de l’écrivain russe Vladimir Charov,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Disparition de l’écrivain russe Vladimir Charov'}","Le poète et romancier, qui a laissé sa trace sur les jeunes romanciers de son pays, est mort à Moscou le 17 août.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le poète et romancier, qui a laissé sa trace sur les jeunes romanciers de son pays, est mort à Moscou le 17 août.'}","Fri, 24 Aug 2018 18:05:40 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=24, tm_hour=16, tm_min=5, tm_sec=40, tm_wday=4, tm_yday=236, tm_isdst=0)",https://www.lemonde.fr/tiny/5345938/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/24/franck-venaille-prix-goncourt-de-la-poesie-2017-est-mort_5345930_3382.html'}, {'type': 'image/jpeg', 'length': '25829', 'href': 'https://s1.lemde.fr/image/2018/08/24/644x322/5345929_3_9376_le-poete-franck-venaille-en-mai-2017_b3a922d6bc1582f42d23929c4f26382f.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/24/franck-venaille-prix-goncourt-de-la-poesie-2017-est-mort_5345930_3382.html,"Franck Venaille, Prix Goncourt de la poésie 2017, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Franck Venaille, Prix Goncourt de la poésie 2017, est mort'}","Le poète, écrivain et homme de radio, décédé le 23 août, à l’âge de 81 ans, laisse une œuvre aussi puissante que méconnue du grand public.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le poète, écrivain et homme de radio, décédé le 23 août, à l’âge de 81 ans, laisse une œuvre aussi puissante que méconnue du grand public.'}","Fri, 24 Aug 2018 17:43:48 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=24, tm_hour=15, tm_min=43, tm_sec=48, tm_wday=4, tm_yday=236, tm_isdst=0)",https://www.lemonde.fr/tiny/5345930/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/24/mort-de-bui-tin-ancien-officier-de-l-armee-nord-vietnamienne-devenu-dissident_5345850_3382.html'}, {'type': 'image/jpeg', 'length': '28732', 'href': 'https://s1.lemde.fr/image/2018/08/24/644x322/5345848_3_ea38_bui-tin-en-mai-2000_e52a31b3ffe15dcad733ed8ae6cb92c5.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/24/mort-de-bui-tin-ancien-officier-de-l-armee-nord-vietnamienne-devenu-dissident_5345850_3382.html,"Mort de Bui Tin, ancien officier de l’armée nord-vietnamienne, devenu dissident","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de Bui Tin, ancien officier de l’armée nord-vietnamienne, devenu dissident'}","Soldat-journaliste, il rejoint très jeune le  Vietminh avant de faire défection, en 1990. Bui Tin, exilé en France depuis 1990, est mort le 11 août, à Montreuil, à l’âge de 90 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Soldat-journaliste, il rejoint très jeune le \xa0Vietminh avant de faire défection, en\xa01990. Bui Tin, exilé en France depuis 1990, est mort le 11 août, à Montreuil, à l’âge de 90\xa0ans.'}","Fri, 24 Aug 2018 15:20:23 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=24, tm_hour=13, tm_min=20, tm_sec=23, tm_wday=4, tm_yday=236, tm_isdst=0)",https://www.lemonde.fr/tiny/5345850/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/23/l-israelien-uri-avnery-grand-combattant-pour-la-paix-est-mort_5345295_3382.html'}, {'type': 'image/jpeg', 'length': '33578', 'href': 'https://s1.lemde.fr/image/2018/08/23/644x322/5345292_3_6623_uri-avnery-en-juillet-2011_2b767b0aa917a761be1dd7353f202411.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/23/l-israelien-uri-avnery-grand-combattant-pour-la-paix-est-mort_5345295_3382.html,"L’Israélien Uri Avnery, grand combattant pour la paix, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’Israélien Uri Avnery, grand combattant pour la paix, est mort'}","Du rêve sioniste, auquel il voulait croire à ses débuts, jusqu’aux dérives nationalistes qu’il n’a cessé de dénoncer, la longue trajectoire de M. Avnery embrasse la destinée de l’Etat hébreu.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180906004912/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Du rêve sioniste, auquel il voulait croire à ses débuts, jusqu’aux dérives nationalistes qu’il n’a cessé de dénoncer, la longue trajectoire de M. Avnery embrasse la destinée de l’Etat hébreu.'}","Thu, 23 Aug 2018 08:51:34 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=23, tm_hour=6, tm_min=51, tm_sec=34, tm_wday=3, tm_yday=235, tm_isdst=0)",https://www.lemonde.fr/tiny/5345295/,False
